From_Date,To_Date,Price
1/15,Departure,$299
1/15,6:00 AM,$309
1/15,7:00 AM,$319
1/15,8:00 AM,$329
1/15,9:00 AM,$339
1/15,10:00 AM,$349
1/15,11:00 AM,$359
1/16,Departure,$329
1/16,6:00 AM,$339
1/16,7:00 AM,$349
1/16,8:00 AM,$359
1/16,9:00 AM,$369
1/16,10:00 AM,$379
1/16,11:00 AM,$389
1/17,Departure,$359
1/17,6:00 AM,$369
1/17,7:00 AM,$379
1/17,8:00 AM,$389
1/17,9:00 AM,$399
1/17,10:00 AM,$409
1/17,11:00 AM,$419
1/18,Departure,$279
1/18,6:00 AM,$289
1/18,7:00 AM,$299
1/18,8:00 AM,$309
1/18,9:00 AM,$319
1/18,10:00 AM,$329
1/18,11:00 AM,$339
1/19,Departure,$319
1/19,6:00 AM,$329
1/19,7:00 AM,$339
1/19,8:00 AM,$349
1/19,9:00 AM,$359
1/19,10:00 AM,$369
1/19,11:00 AM,$379
1/20,Departure,$399
1/20,6:00 AM,$409
1/20,7:00 AM,$419
1/20,8:00 AM,$429
1/20,9:00 AM,$439
1/20,10:00 AM,$449
1/20,11:00 AM,$459
1/21,Departure,$349
1/21,6:00 AM,$359
1/21,7:00 AM,$369
1/21,8:00 AM,$379
1/21,9:00 AM,$389
1/21,10:00 AM,$399
1/21,11:00 AM,$409
1/15,Departure,$299
1/15,6:00 AM,$309
1/15,7:00 AM,$319
1/15,8:00 AM,$329
1/15,9:00 AM,$339
1/15,10:00 AM,$349
1/15,11:00 AM,$359
1/16,Departure,$329
1/16,6:00 AM,$339
1/16,7:00 AM,$349
1/16,8:00 AM,$359
1/16,9:00 AM,$369
1/16,10:00 AM,$379
1/16,11:00 AM,$389
1/17,Departure,$359
1/17,6:00 AM,$369
1/17,7:00 AM,$379
1/17,8:00 AM,$389
1/17,9:00 AM,$399
1/17,10:00 AM,$409
1/17,11:00 AM,$419
1/18,Departure,$279
1/18,6:00 AM,$289
1/18,7:00 AM,$299
1/18,8:00 AM,$309
1/18,9:00 AM,$319
1/18,10:00 AM,$329
1/18,11:00 AM,$339
1/19,Departure,$319
1/19,6:00 AM,$329
1/19,7:00 AM,$339
1/19,8:00 AM,$349
1/19,9:00 AM,$359
1/19,10:00 AM,$369
1/19,11:00 AM,$379
1/20,Departure,$399
1/20,6:00 AM,$409
1/20,7:00 AM,$419
1/20,8:00 AM,$429
1/20,9:00 AM,$439
1/20,10:00 AM,$449
1/20,11:00 AM,$459
1/21,Departure,$349
1/21,6:00 AM,$359
1/21,7:00 AM,$369
1/21,8:00 AM,$379
1/21,9:00 AM,$389
1/21,10:00 AM,$399
1/21,11:00 AM,$409
1/15,Departure,$299
1/15,6:00 AM,$309
1/15,7:00 AM,$319
1/15,8:00 AM,$329
1/15,9:00 AM,$339
1/15,10:00 AM,$349
1/15,11:00 AM,$359
1/16,Departure,$329
1/16,6:00 AM,$339
1/16,7:00 AM,$349
1/16,8:00 AM,$359
1/16,9:00 AM,$369
1/16,10:00 AM,$379
1/16,11:00 AM,$389
1/17,Departure,$359
1/17,6:00 AM,$369
1/17,7:00 AM,$379
1/17,8:00 AM,$389
1/17,9:00 AM,$399
1/17,10:00 AM,$409
1/17,11:00 AM,$419
1/18,Departure,$279
1/18,6:00 AM,$289
1/18,7:00 AM,$299
1/18,8:00 AM,$309
1/18,9:00 AM,$319
1/18,10:00 AM,$329
1/18,11:00 AM,$339
1/19,Departure,$319
1/19,6:00 AM,$329
1/19,7:00 AM,$339
1/19,8:00 AM,$349
1/19,9:00 AM,$359
1/19,10:00 AM,$369
1/19,11:00 AM,$379
1/20,Departure,$399
1/20,6:00 AM,$409
1/20,7:00 AM,$419
1/20,8:00 AM,$429
1/20,9:00 AM,$439
1/20,10:00 AM,$449
1/20,11:00 AM,$459
1/21,Departure,$349
1/21,6:00 AM,$359
1/21,7:00 AM,$369
1/21,8:00 AM,$379
1/21,9:00 AM,$389
1/21,10:00 AM,$399
1/21,11:00 AM,$409
1/15,Departure,$299
1/15,6:00 AM,$309
1/15,7:00 AM,$319
1/15,8:00 AM,$329
1/15,9:00 AM,$339
1/15,10:00 AM,$349
1/15,11:00 AM,$359
1/16,Departure,$329
1/16,6:00 AM,$339
1/16,7:00 AM,$349
1/16,8:00 AM,$359
1/16,9:00 AM,$369
1/16,10:00 AM,$379
1/16,11:00 AM,$389
1/17,Departure,$359
1/17,6:00 AM,$369
1/17,7:00 AM,$379
1/17,8:00 AM,$389
1/17,9:00 AM,$399
1/17,10:00 AM,$409
1/17,11:00 AM,$419
1/18,Departure,$279
1/18,6:00 AM,$289
1/18,7:00 AM,$299
1/18,8:00 AM,$309
1/18,9:00 AM,$319
1/18,10:00 AM,$329
1/18,11:00 AM,$339
1/19,Departure,$319
1/19,6:00 AM,$329
1/19,7:00 AM,$339
1/19,8:00 AM,$349
1/19,9:00 AM,$359
1/19,10:00 AM,$369
1/19,11:00 AM,$379
1/20,Departure,$399
1/20,6:00 AM,$409
1/20,7:00 AM,$419
1/20,8:00 AM,$429
1/20,9:00 AM,$439
1/20,10:00 AM,$449
1/20,11:00 AM,$459
1/21,Departure,$349
1/21,6:00 AM,$359
1/21,7:00 AM,$369
1/21,8:00 AM,$379
1/21,9:00 AM,$389
1/21,10:00 AM,$399
1/21,11:00 AM,$409
1/15,Departure,$299
1/15,6:00 AM,$309
1/15,7:00 AM,$319
1/15,8:00 AM,$329
1/15,9:00 AM,$339
1/15,10:00 AM,$349
1/15,11:00 AM,$359
1/16,Departure,$329
1/16,6:00 AM,$339
1/16,7:00 AM,$349
1/16,8:00 AM,$359
1/16,9:00 AM,$369
1/16,10:00 AM,$379
1/16,11:00 AM,$389
1/17,Departure,$359
1/17,6:00 AM,$369
1/17,7:00 AM,$379
1/17,8:00 AM,$389
1/17,9:00 AM,$399
1/17,10:00 AM,$409
1/17,11:00 AM,$419
1/18,Departure,$279
1/18,6:00 AM,$289
1/18,7:00 AM,$299
1/18,8:00 AM,$309
1/18,9:00 AM,$319
1/18,10:00 AM,$329
1/18,11:00 AM,$339
1/19,Departure,$319
1/19,6:00 AM,$329
1/19,7:00 AM,$339
1/19,8:00 AM,$349
1/19,9:00 AM,$359
1/19,10:00 AM,$369
1/19,11:00 AM,$379
1/20,Departure,$399
1/20,6:00 AM,$409
1/20,7:00 AM,$419
1/20,8:00 AM,$429
1/20,9:00 AM,$439
1/20,10:00 AM,$449
1/20,11:00 AM,$459
1/21,Departure,$349
1/21,6:00 AM,$359
1/21,7:00 AM,$369
1/21,8:00 AM,$379
1/21,9:00 AM,$389
1/21,10:00 AM,$399
1/21,11:00 AM,$409
1/15,Departure,$299
1/15,6:00 AM,$309
1/15,7:00 AM,$319
1/15,8:00 AM,$329
1/15,9:00 AM,$339
1/15,10:00 AM,$349
1/15,11:00 AM,$359
1/16,Departure,$329
1/16,6:00 AM,$339
1/16,7:00 AM,$349
1/16,8:00 AM,$359
1/16,9:00 AM,$369
1/16,10:00 AM,$379
1/16,11:00 AM,$389
1/17,Departure,$359
1/17,6:00 AM,$369
1/17,7:00 AM,$379
1/17,8:00 AM,$389
1/17,9:00 AM,$399
1/17,10:00 AM,$409
1/17,11:00 AM,$419
1/18,Departure,$279
1/18,6:00 AM,$289
1/18,7:00 AM,$299
1/18,8:00 AM,$309
1/18,9:00 AM,$319
1/18,10:00 AM,$329
1/18,11:00 AM,$339
1/19,Departure,$319
1/19,6:00 AM,$329
1/19,7:00 AM,$339
1/19,8:00 AM,$349
1/19,9:00 AM,$359
1/19,10:00 AM,$369
1/19,11:00 AM,$379
1/20,Departure,$399
1/20,6:00 AM,$409
1/20,7:00 AM,$419
1/20,8:00 AM,$429
1/20,9:00 AM,$439
1/20,10:00 AM,$449
1/20,11:00 AM,$459
1/21,Departure,$349
1/21,6:00 AM,$359
1/21,7:00 AM,$369
1/21,8:00 AM,$379
1/21,9:00 AM,$389
1/21,10:00 AM,$399
1/21,11:00 AM,$409
1/15,Departure,$299
1/15,6:00 AM,$309
1/15,7:00 AM,$319
1/15,8:00 AM,$329
1/15,9:00 AM,$339
1/15,10:00 AM,$349
1/15,11:00 AM,$359
1/16,Departure,$329
1/16,6:00 AM,$339
1/16,7:00 AM,$349
1/16,8:00 AM,$359
1/16,9:00 AM,$369
1/16,10:00 AM,$379
1/16,11:00 AM,$389
1/17,Departure,$359
1/17,6:00 AM,$369
1/17,7:00 AM,$379
1/17,8:00 AM,$389
1/17,9:00 AM,$399
1/17,10:00 AM,$409
1/17,11:00 AM,$419
1/18,Departure,$279
1/18,6:00 AM,$289
1/18,7:00 AM,$299
1/18,8:00 AM,$309
1/18,9:00 AM,$319
1/18,10:00 AM,$329
1/18,11:00 AM,$339
1/19,Departure,$319
1/19,6:00 AM,$329
1/19,7:00 AM,$339
1/19,8:00 AM,$349
1/19,9:00 AM,$359
1/19,10:00 AM,$369
1/19,11:00 AM,$379
1/20,Departure,$399
1/20,6:00 AM,$409
1/20,7:00 AM,$419
1/20,8:00 AM,$429
1/20,9:00 AM,$439
1/20,10:00 AM,$449
1/20,11:00 AM,$459
1/21,Departure,$349
1/21,6:00 AM,$359
1/21,7:00 AM,$369
1/21,8:00 AM,$379
1/21,9:00 AM,$389
1/21,10:00 AM,$399
1/21,11:00 AM,$409
1/15,Departure,$299
1/15,6:00 AM,$309
1/15,7:00 AM,$319
1/15,8:00 AM,$329
1/15,9:00 AM,$339
1/15,10:00 AM,$349
1/15,11:00 AM,$359
1/16,Departure,$329
1/16,6:00 AM,$339
1/16,7:00 AM,$349
1/16,8:00 AM,$359
1/16,9:00 AM,$369
1/16,10:00 AM,$379
1/16,11:00 AM,$389
1/17,Departure,$359
1/17,6:00 AM,$369
1/17,7:00 AM,$379
1/17,8:00 AM,$389
1/17,9:00 AM,$399
1/17,10:00 AM,$409
1/17,11:00 AM,$419
1/18,Departure,$279
1/18,6:00 AM,$289
1/18,7:00 AM,$299
1/18,8:00 AM,$309
1/18,9:00 AM,$319
1/18,10:00 AM,$329
1/18,11:00 AM,$339
1/19,Departure,$319
1/19,6:00 AM,$329
1/19,7:00 AM,$339
1/19,8:00 AM,$349
1/19,9:00 AM,$359
1/19,10:00 AM,$369
1/19,11:00 AM,$379
1/20,Departure,$399
1/20,6:00 AM,$409
1/20,7:00 AM,$419
1/20,8:00 AM,$429
1/20,9:00 AM,$439
1/20,10:00 AM,$449
1/20,11:00 AM,$459
1/21,Departure,$349
1/21,6:00 AM,$359
1/21,7:00 AM,$369
1/21,8:00 AM,$379
1/21,9:00 AM,$389
1/21,10:00 AM,$399
1/21,11:00 AM,$409
1/15,Departure,$299
1/15,6:00 AM,$309
1/15,7:00 AM,$319
1/15,8:00 AM,$329
1/15,9:00 AM,$339
1/15,10:00 AM,$349
1/15,11:00 AM,$359
1/16,Departure,$329
1/16,6:00 AM,$339
1/16,7:00 AM,$349
1/16,8:00 AM,$359
1/16,9:00 AM,$369
1/16,10:00 AM,$379
1/16,11:00 AM,$389
1/17,Departure,$359
1/17,6:00 AM,$369
1/17,7:00 AM,$379
1/17,8:00 AM,$389
1/17,9:00 AM,$399
1/17,10:00 AM,$409
1/17,11:00 AM,$419
1/18,Departure,$279
1/18,6:00 AM,$289
1/18,7:00 AM,$299
1/18,8:00 AM,$309
1/18,9:00 AM,$319
1/18,10:00 AM,$329
1/18,11:00 AM,$339
1/19,Departure,$319
1/19,6:00 AM,$329
1/19,7:00 AM,$339
1/19,8:00 AM,$349
1/19,9:00 AM,$359
1/19,10:00 AM,$369
1/19,11:00 AM,$379
1/20,Departure,$399
1/20,6:00 AM,$409
1/20,7:00 AM,$419
1/20,8:00 AM,$429
1/20,9:00 AM,$439
1/20,10:00 AM,$449
1/20,11:00 AM,$459
1/21,Departure,$349
1/21,6:00 AM,$359
1/21,7:00 AM,$369
1/21,8:00 AM,$379
1/21,9:00 AM,$389
1/21,10:00 AM,$399
1/21,11:00 AM,$409
1/15,Departure,$299
1/15,6:00 AM,$309
1/15,7:00 AM,$319
1/15,8:00 AM,$329
1/15,9:00 AM,$339
1/15,10:00 AM,$349
1/15,11:00 AM,$359
1/16,Departure,$329
1/16,6:00 AM,$339
1/16,7:00 AM,$349
1/16,8:00 AM,$359
1/16,9:00 AM,$369
1/16,10:00 AM,$379
1/16,11:00 AM,$389
1/17,Departure,$359
1/17,6:00 AM,$369
1/17,7:00 AM,$379
1/17,8:00 AM,$389
1/17,9:00 AM,$399
1/17,10:00 AM,$409
1/17,11:00 AM,$419
1/18,Departure,$279
1/18,6:00 AM,$289
1/18,7:00 AM,$299
1/18,8:00 AM,$309
1/18,9:00 AM,$319
1/18,10:00 AM,$329
1/18,11:00 AM,$339
1/19,Departure,$319
1/19,6:00 AM,$329
1/19,7:00 AM,$339
1/19,8:00 AM,$349
1/19,9:00 AM,$359
1/19,10:00 AM,$369
1/19,11:00 AM,$379
1/20,Departure,$399
1/20,6:00 AM,$409
1/20,7:00 AM,$419
1/20,8:00 AM,$429
1/20,9:00 AM,$439
1/20,10:00 AM,$449
1/20,11:00 AM,$459
1/21,Departure,$349
1/21,6:00 AM,$359
1/21,7:00 AM,$369
1/21,8:00 AM,$379
1/21,9:00 AM,$389
1/21,10:00 AM,$399
1/21,11:00 AM,$409
1/15,Departure,$299
1/15,6:00 AM,$309
1/15,7:00 AM,$319
1/15,8:00 AM,$329
1/15,9:00 AM,$339
1/15,10:00 AM,$349
1/15,11:00 AM,$359
1/16,Departure,$329
1/16,6:00 AM,$339
1/16,7:00 AM,$349
1/16,8:00 AM,$359
1/16,9:00 AM,$369
1/16,10:00 AM,$379
1/16,11:00 AM,$389
1/17,Departure,$359
1/17,6:00 AM,$369
1/17,7:00 AM,$379
1/17,8:00 AM,$389
1/17,9:00 AM,$399
1/17,10:00 AM,$409
1/17,11:00 AM,$419
1/18,Departure,$279
1/18,6:00 AM,$289
1/18,7:00 AM,$299
1/18,8:00 AM,$309
1/18,9:00 AM,$319
1/18,10:00 AM,$329
1/18,11:00 AM,$339
1/19,Departure,$319
1/19,6:00 AM,$329
1/19,7:00 AM,$339
1/19,8:00 AM,$349
1/19,9:00 AM,$359
1/19,10:00 AM,$369
1/19,11:00 AM,$379
1/20,Departure,$399
1/20,6:00 AM,$409
1/20,7:00 AM,$419
1/20,8:00 AM,$429
1/20,9:00 AM,$439
1/20,10:00 AM,$449
1/20,11:00 AM,$459
1/21,Departure,$349
1/21,6:00 AM,$359
1/21,7:00 AM,$369
1/21,8:00 AM,$379
1/21,9:00 AM,$389
1/21,10:00 AM,$399
1/21,11:00 AM,$409
1/15,Departure,$299
1/15,6:00 AM,$309
1/15,7:00 AM,$319
1/15,8:00 AM,$329
1/15,9:00 AM,$339
1/15,10:00 AM,$349
1/15,11:00 AM,$359
1/16,Departure,$329
1/16,6:00 AM,$339
1/16,7:00 AM,$349
1/16,8:00 AM,$359
1/16,9:00 AM,$369
1/16,10:00 AM,$379
1/16,11:00 AM,$389
1/17,Departure,$359
1/17,6:00 AM,$369
1/17,7:00 AM,$379
1/17,8:00 AM,$389
1/17,9:00 AM,$399
1/17,10:00 AM,$409
1/17,11:00 AM,$419
1/18,Departure,$279
1/18,6:00 AM,$289
1/18,7:00 AM,$299
1/18,8:00 AM,$309
1/18,9:00 AM,$319
1/18,10:00 AM,$329
1/18,11:00 AM,$339
1/19,Departure,$319
1/19,6:00 AM,$329
1/19,7:00 AM,$339
1/19,8:00 AM,$349
1/19,9:00 AM,$359
1/19,10:00 AM,$369
1/19,11:00 AM,$379
1/20,Departure,$399
1/20,6:00 AM,$409
1/20,7:00 AM,$419
1/20,8:00 AM,$429
1/20,9:00 AM,$439
1/20,10:00 AM,$449
