From_Date,To_Date,Price
Aug24,Sep7,"$2,396"
Aug24,Sep8,"$1,467"
Aug24,Sep9,"$1,467"
Aug24,Sep10,"$1,467"
Aug24,Sep11,"$2,188"
Aug25,Sep7,"$1,950"
Aug25,Sep8,"$2,401"
Aug25,Sep9,"$1,765"
Aug25,Sep10,"$1,765"
Aug25,Sep11,"$1,765"
Aug25,Sep12,"$2,035"
Aug25,Sep13,"$1,953"
Aug26,Sep7,"$1,995"
Aug26,Sep8,"$1,192"
Aug26,Sep9,"$1,688"
Aug26,Sep10,"$1,192"
Aug26,Sep11,"$1,688"
Aug26,Sep12,"$1,192"
Aug26,Sep13,"$1,958"
Aug27,Sep7,"$2,476"
Aug27,Sep8,"$2,629"
Aug27,Sep9,"$1,998"
Aug27,Sep10,"$1,998"
Aug27,Sep11,"$1,998"
Aug27,Sep12,"$2,268"
Aug27,Sep13,"$2,268"
Aug28,Sep7,"$2,596"
Aug28,Sep8,"$1,192"
Aug28,Sep9,"$2,117"
Aug28,Sep10,"$1,192"
Aug28,Sep11,"$2,117"
Aug28,Sep12,"$1,192"
Aug28,Sep13,"$1,618"
Aug29,Sep7,"$1,946"
Aug29,Sep8,"$2,671"
Aug29,Sep9,"$1,953"
Aug29,Sep10,"$1,618"
Aug29,Sep11,"$1,953"
Aug29,Sep12,"$1,664"
Aug30,Sep7,"$1,946"
Aug30,Sep8,"$1,962"
Aug30,Sep9,"$2,079"
Aug30,Sep10,"$1,618"
Aug30,Sep11,"$2,079"
Aug30,Sep12,"$1,664"
Aug24,Sun,"$1,918"
Aug24,Sep14,"$1,467"
Aug24,Sep15,"$1,918"
Aug24,Tue,"$1,547"
Aug24,Sep16,"$2,147"
Aug24,Wed,"$1,547"
Aug24,Sep17,"$1,959"
Aug25,Sun,"$1,765"
Aug25,Sep14,"$1,765"
Aug25,Sep15,"$1,765"
Aug25,Tue,"$1,841"
Aug25,Sep16,"$1,903"
Aug25,Wed,"$1,882"
Aug25,Sep17,"$1,806"
Aug26,Sun,"$1,688"
Aug26,Sep14,"$1,688"
Aug26,Sep15,"$1,272"
Aug26,Tue,"$1,272"
Aug26,Sep16,"$1,729"
Aug27,Sun,"$1,998"
Aug27,Sep14,"$2,074"
Aug27,Sep15,"$2,227"
Aug27,Tue,"$2,115"
Aug27,Sep16,"$2,039"
Aug28,Sun,"$1,572"
Aug28,Sep14,"$1,568"
Aug28,Sep15,"$1,272"
Aug28,Tue,"$2,347"
Aug28,Sep16,"$1,272"
Aug28,Wed,"$2,158"
Aug29,Sun,"$1,618"
Aug29,Sep14,"$1,618"
Aug29,Sep15,"$1,614"
Aug29,Tue,"$2,311"
Aug29,Sep16,"$1,953"
Aug29,Wed,"$1,664"
Aug29,Sep17,"$2,003"
Aug30,Sun,"$1,618"
Aug30,Sep14,"$1,618"
Aug30,Sep15,"$1,614"
Aug30,Tue,"$2,099"
Aug30,Sep16,"$2,462"
Aug30,Wed,"$2,120"
Sep21,Sun,"$2,248"
Sep21,Sep28,"$2,513"
Sep21,Sep29,"$2,402"
Sep21,Tue,"$2,348"
Sep21,Sep30,"$3,437"
Sep21,Wed,"$2,205"
Sep21,Oct1,"$2,724"
Sep22,Sun,"$1,648"
Sep22,Sep28,"$1,907"
Sep22,Sep29,"$1,907"
Sep22,Tue,"$1,866"
Sep22,Sep30,"$2,134"
Sep22,Wed,"$2,495"
Sep23,Sun,"$1,820"
Sep23,Sep28,"$1,911"
Sep23,Sep29,"$1,911"
Sep23,Tue,"$2,038"
Sep23,Sep30,"$2,123"
Sep23,Wed,"$2,205"
Sep23,Oct1,"$2,495"
Sep24,Sun,"$1,816"
Sep24,Sep28,"$1,907"
Sep24,Sep29,"$1,907"
Sep24,Tue,"$2,034"
Sep24,Sep30,"$2,403"
Sep24,Wed,"$2,495"
Sep25,Sun,"$1,788"
Sep25,Sep28,"$1,911"
Sep25,Sep29,"$1,957"
Sep25,Tue,"$2,123"
Sep25,Sep30,"$2,377"
Sep25,Wed,"$2,401"
Sep26,Sun,"$1,862"
Sep26,Sep28,"$1,953"
Sep26,Sep29,"$2,080"
Sep26,Tue,"$2,165"
Sep26,Sep30,"$2,449"
Sep26,Wed,"$2,475"
Sep27,Sun,"$2,247"
Sep27,Sep28,"$1,957"
Sep27,Sep29,"$1,906"
Sep27,Tue,"$2,169"
Sep27,Sep30,"$2,275"
Sep27,Wed,"$2,301"
Aug24,Sun,"$2,402"
Aug24,Sep28,"$2,572"
Aug24,Sep29,"$2,402"
Aug24,Tue,"$2,152"
Aug24,Sep30,"$3,437"
Aug24,Wed,"$2,572"
Aug24,Oct1,"$2,724"
Aug25,Sun,"$1,907"
Aug25,Sep28,"$1,907"
Aug25,Sep29,"$1,907"
Aug25,Tue,"$2,531"
Aug25,Sep30,"$3,284"
Aug25,Wed,"$2,962"
Aug25,Oct1,"$2,571"
Aug26,Sun,"$2,173"
Aug26,Sep28,"$2,297"
Aug26,Sep29,"$2,173"
Aug26,Tue,"$1,877"
Aug26,Sep30,"$3,207"
Aug26,Wed,"$2,083"
Aug26,Oct1,"$2,495"
Aug27,Sun,"$2,482"
Aug27,Sep28,"$3,777"
Aug27,Sep29,"$2,482"
Aug27,Tue,"$2,724"
Aug27,Sep30,"$3,477"
Aug27,Wed,"$3,491"
Aug27,Oct1,"$2,764"
Aug28,Sun,"$2,602"
Aug28,Sep28,"$1,572"
Aug28,Sep29,"$2,602"
Aug28,Tue,"$1,877"
Aug28,Sep30,"$2,123"
Aug28,Wed,"$2,297"
Aug28,Oct1,"$2,884"
Aug29,Sun,"$1,957"
Aug29,Sep28,"$1,618"
Aug29,Sep29,"$1,957"
Aug29,Tue,"$2,961"
Aug29,Sep30,"$3,714"
Aug29,Wed,"$4,225"
Aug29,Oct1,"$3,002"
Aug30,Sun,"$2,431"
Aug30,Sep28,"$1,618"
Aug30,Sep29,"$2,717"
Aug30,Tue,"$2,647"
Aug30,Sep30,"$3,711"
Aug30,Wed,"$2,620"
Aug30,Oct1,"$2,999"
Sep7,Sep28,"$1,729"
Sep7,Sep29,"$2,213"
Sep7,Sep30,"$2,249"
Sep7,Oct1,"$2,048"
Sep7,Oct2,"$3,063"
Sep7,Oct3,"$1,905"
Sep7,Oct4,"$2,571"
Sep8,Sep28,"$1,733"
Sep8,Sep29,"$1,911"
Sep8,Sep30,"$1,911"
Sep8,Oct1,"$1,950"
Sep8,Oct2,"$2,134"
Sep8,Oct3,"$2,571"
Sep9,Sep28,"$1,911"
Sep9,Sep29,"$1,911"
Sep9,Sep30,"$1,911"
Sep9,Oct1,"$1,877"
Sep9,Oct2,"$2,123"
Sep9,Oct3,"$1,905"
Sep9,Oct4,"$2,438"
Sep10,Sep28,"$2,402"
Sep10,Sep29,"$2,123"
Sep10,Sep30,"$2,402"
Sep10,Oct1,"$2,277"
Sep10,Oct2,"$2,134"
Sep10,Oct3,"$2,724"
Sep11,Sep28,"$1,729"
Sep11,Sep29,"$1,572"
Sep11,Sep30,"$2,402"
Sep11,Oct1,"$1,905"
Sep11,Oct2,"$3,437"
Sep11,Oct3,"$1,762"
Sep11,Oct4,"$2,724"
Sep12,Sep28,"$1,775"
Sep12,Sep29,"$1,957"
Sep12,Sep30,"$1,957"
Sep12,Oct1,"$2,825"
Sep12,Oct2,"$3,508"
Sep12,Oct3,"$3,360"
Sep12,Oct4,"$2,865"
Sep13,Sep28,"$1,897"
Sep13,Sep29,"$2,426"
Sep13,Sep30,"$2,545"
Sep13,Oct1,"$2,113"
Sep13,Oct2,"$2,988"
Sep13,Oct3,"$2,134"
Sep13,Oct4,"$2,723"
Aug31,Sun,"$2,347"
Aug31,Sep7,"$1,727"
Aug31,Sep8,"$2,347"
Aug31,Tue,"$1,727"
Aug31,Sep9,"$2,347"
Aug31,Wed,"$1,727"
Aug31,Sep10,"$2,916"
Sep1,Sun,"$1,402"
Sep1,Sep7,"$1,641"
Sep1,Sep8,"$1,907"
Sep1,Tue,"$1,402"
Sep1,Sep9,"$1,907"
Sep1,Wed,"$1,618"
Sep1,Sep10,"$1,618"
Sep2,Sun,"$1,754"
Sep2,Sep7,"$2,016"
Sep2,Sep8,"$2,016"
Sep2,Tue,"$1,618"
Sep3,Sun,"$1,900"
Sep3,Sep7,"$1,572"
Sep3,Sep8,"$1,725"
Sep3,Tue,"$1,572"
Sep3,Sep9,"$1,907"
Sep3,Wed,"$1,618"
Sep3,Sep10,"$1,618"
Sep4,Sun,"$1,754"
Sep4,Sep7,"$1,725"
Sep4,Sep8,"$1,907"
Sep4,Tue,"$1,771"
Sep5,Sun,"$2,048"
Sep5,Sep7,"$2,064"
Sep5,Sep8,"$1,771"
Sep5,Tue,"$1,806"
Sep5,Sep9,"$1,806"
Sep5,Wed,"$2,076"
Sep5,Sep10,"$1,817"
Sep6,Sun,"$2,539"
Sep6,Sep7,"$1,740"
Sep6,Sep8,"$1,402"
Sep6,Tue,"$1,953"
Sep14,Sun,"$1,918"
Sep14,Sep21,"$1,858"
Sep14,Sep22,"$2,301"
Sep14,Tue,"$1,858"
Sep14,Sep23,"$2,301"
Sep14,Wed,"$2,443"
Sep14,Sep24,"$2,495"
Sep15.,Sun,"$1,402"
Sep15.,Sep21,"$1,787"
Sep15.,Sep22,"$2,288"
Sep15.,Tue,"$2,306"
Sep15.,Sep23,"$2,442"
Sep16,Sun,"$1,787"
Sep16,Sep21,"$2,272"
Sep16,Sep22,"$1,787"
Sep16,Tue,"$2,301"
Sep16,Sep23,"$2,318"
Sep16,Wed,"$2,314"
Sep17,Sun,"$1,644"
Sep17,Sep21,"$2,301"
Sep17,Sep22,"$1,644"
Sep17,Tue,"$2,301"
Sep17,Sep23,"$2,059"
Sep17,Wed,"$2,495"
Sep18,Sun,"$2,021"
Sep18,Sep21,"$1,858"
Sep18,Sep22,"$2,401"
Sep18,Tue,"$1,858"
Sep18,Sep23,"$2,401"
Sep18,Wed,"$2,273"
Sep18,Sep24,"$2,561"
Sep19,Sun,"$2,164"
Sep19,Sep21,"$2,173"
Sep19,Sep22,"$1,953"
Sep19,Tue,"$1,957"
Sep19,Sep23,"$2,597"
Sep19,Wed,"$2,218"
Sep19,Sep24,"$1,999"
Sep20,Sun,"$2,476"
Sep20,Sep21,"$2,035"
Sep20,Sep22,"$2,288"
Sep20,Tue,"$1,574"
Sep20,Sep23,"$2,385"
Sep20,Wed,"$2,235"
Sep20,Sep24,"$2,261"
Aug24,Sun,"$1,918"
Aug24,Sep21,"$1,994"
Aug24,Sep22,"$2,301"
Aug24,Tue,"$2,002"
Aug24,Sep23,"$2,301"
Aug24,Wed,"$2,352"
Aug24,Sep24,"$2,479"
Aug25,Sun,"$1,765"
Aug25,Sep21,"$1,841"
Aug25,Sep22,"$1,903"
Aug25,Tue,"$1,907"
Aug25,Sep23,"$2,148"
Aug25,Wed,"$2,290"
Aug25,Sep24,"$1,949"
Aug26,Sun,"$1,688"
Aug26,Sep21,"$1,736"
Aug26,Sep22,"$2,072"
Aug26,Tue,"$1,727"
Aug26,Sep23,"$2,072"
Aug26,Wed,"$2,077"
Aug26,Sep24,"$2,265"
Aug27,Sun,"$2,074"
Aug27,Sep21,"$2,341"
Aug27,Sep22,"$2,341"
Aug27,Tue,"$2,341"
Aug27,Sep23,"$2,523"
Aug27,Wed,"$2,535"
Aug28,Sun,"$1,572"
Aug28,Sep21,"$1,877"
Aug28,Sep22,"$1,572"
Aug28,Tue,"$1,727"
Aug28,Sep23,"$2,461"
Aug28,Wed,"$2,077"
Aug28,Sep24,"$2,479"
Aug29,Sun,"$1,618"
Aug29,Sep21,"$2,311"
Aug29,Sep22,"$1,618"
Aug29,Tue,"$1,957"
Aug29,Sep23,"$2,579"
Aug29,Wed,"$2,716"
Aug29,Sep24,"$1,999"
Aug30,Sun,"$1,618"
Aug30,Sep21,"$2,156"
Aug30,Sep22,"$1,618"
Aug30,Tue,"$2,271"
Aug30,Sep23,"$2,576"
Aug30,Wed,"$2,720"
Aug30,Sep24,"$2,716"
Aug24,Aug31,"$2,006"
Aug24,Sep1,"$1,467"
Aug24,Sep2,"$1,467"
Aug24,Sep3,"$1,994"
Aug24,Sep4,"$1,467"
Aug24,Sep5,"$2,182"
Aug25,Aug31,"$1,989"
Aug25,Sep1,"$1,835"
Aug25,Sep2,"$1,765"
Aug25,Sep3,"$1,765"
Aug25,Sep4,"$2,029"
Aug25,Sep5,"$2,029"
Aug26,Aug31,"$1,626"
Aug26,Sep1,"$1,192"
Aug26,Sep2,"$1,688"
Aug26,Sep3,"$1,192"
Aug26,Sep4,"$1,765"
Aug26,Sep5,"$1,192"
Aug26,Sep6,"$1,952"
Aug27,Aug31,"$2,299"
Aug27,Sep1,"$2,087"
Aug27,Sep2,"$2,016"
Aug27,Sep3,"$2,016"
Aug27,Sep4,"$2,093"
Aug27,Sep5,"$2,262"
Aug27,Sep6,"$2,262"
Aug28,Aug31,"$1,626"
Aug28,Sep1,"$1,192"
Aug28,Sep2,"$2,057"
Aug28,Sep3,"$1,192"
Aug28,Sep4,"$2,134"
Aug28,Sep5,"$1,192"
Aug28,Sep6,"$2,198"
Aug29,Aug31,"$1,818"
Aug29,Sep1,"$1,962"
Aug29,Sep2,"$2,057"
Aug29,Sep3,"$1,943"
Aug29,Sep4,"$2,134"
Aug29,Sep5,"$2,198"
Aug29,Sep6,"$2,321"
Aug30,Aug31,"$3,178"
Aug30,Sep1,"$1,962"
Aug30,Sep2,"$2,093"
Aug30,Sep3,"$1,943"
Aug30,Sep4,"$2,169"
Aug30,Sep5,"$2,198"
Aug30,Sep6,"$2,357"
Aug31,Sun,"$2,870"
Aug31,Sep14,"$1,727"
Aug31,Sep15,"$2,968"
Aug31,Tue,"$1,807"
Aug31,Sep16,"$2,870"
Aug31,Wed,"$1,807"
Aug31,Sep17,"$3,030"
Sep1,Sun,"$1,572"
Sep1,Sep14,"$1,572"
Sep1,Sep15,"$1,402"
Sep1,Tue,"$1,907"
Sep1,Sep16,"$1,618"
Sep1,Wed,"$1,957"
Sep2,Sun,"$1,572"
Sep2,Sep14,"$1,568"
Sep2,Sep15,"$1,272"
Sep2,Tue,"$2,192"
Sep2,Sep16,"$1,272"
Sep2,Wed,"$2,003"
Sep3,Sun,"$1,572"
Sep3,Sep14,"$1,572"
Sep3,Sep15,"$1,715"
Sep3,Tue,"$1,729"
Sep3,Sep16,"$1,618"
Sep3,Wed,"$1,775"
Sep4,Sun,"$1,729"
Sep4,Sep14,"$1,907"
Sep4,Sep15,"$1,272"
Sep4,Tue,"$1,729"
Sep4,Sep16,"$1,272"
Sep4,Wed,"$1,775"
Sep5,Sun,"$1,775"
Sep5,Sep14,"$1,806"
Sep5,Sep15,"$1,806"
Sep5,Tue,"$1,775"
Sep5,Sep16,"$1,775"
Sep5,Wed,"$1,923"
Sep5,Sep17,"$1,821"
Sep6,Sun,"$1,618"
Sep6,Sep14,"$1,572"
Sep6,Sep15,"$1,614"
Sep6,Tue,"$1,402"
Sep6,Sep16,"$1,775"
Sep6,Wed,"$1,821"
Sep7,Sun,"$1,729"
Sep7,Sep14,"$1,343"
Sep7,Sep15,"$1,765"
Sep7,Tue,"$1,486"
Sep7,Sep16,"$1,729"
Sep7,Wed,"$1,547"
Sep7,Sep17,"$1,775"
Sep8,Sun,"$1,633"
Sep8,Sep14,"$1,572"
Sep8,Sep15,"$1,765"
Sep8,Tue,"$1,402"
Sep8,Sep16,"$1,907"
Sep8,Wed,"$1,812"
Sep8,Sep17,"$1,806"
Sep9,Sun,"$1,663"
Sep9,Sep14,"$1,765"
Sep9,Sep15,"$1,272"
Sep9,Tue,"$1,907"
Sep9,Sep16,"$1,272"
Sep9,Wed,"$1,806"
Sep10,Sun,"$1,572"
Sep10,Sep14,"$1,715"
Sep10,Sep15,"$2,147"
Sep10,Tue,"$1,715"
Sep11,Sun,"$1,704"
Sep11,Sep14,"$1,200"
Sep11,Sep15,"$1,568"
Sep11,Tue,"$1,343"
Sep11,Sep16,"$1,729"
Sep11,Wed,"$1,343"
Sep11,Sep17,"$1,775"
Sep12,Sun,"$1,957"
Sep12,Sep14,"$1,957"
Sep12,Sep15,"$1,953"
Sep12,Tue,"$1,775"
Sep12,Sep16,"$1,775"
Sep12,Wed,"$2,178"
Sep12,Sep17,"$1,821"
Sep13,Sun,"$2,093"
Sep13,Sep14,"$1,724"
Sep13,Sep15,"$2,060"
Sep13,Tue,"$1,565"
Sep13,Sep16,"$2,241"
Sep13,Wed,"$1,715"
Sep13,Sep17,"$2,101"
Sep7,Sun,"$1,729"
Sep7,Sep21,"$1,558"
Sep7,Sep22,"$2,148"
Sep7,Tue,"$1,558"
Sep7,Sep23,"$2,148"
Sep7,Wed,"$1,775"
Sep7,Sep24,"$1,771"
Sep8,Sun,"$1,402"
Sep8,Sep21,"$1,787"
Sep8,Sep22,"$1,907"
Sep8,Tue,"$2,148"
Sep8,Sep23,"$2,169"
Sep8,Wed,"$1,953"
Sep9,Sun,"$1,765"
Sep9,Sep21,"$1,558"
Sep9,Sep22,"$1,907"
Sep9,Tue,"$1,558"
Sep9,Sep23,"$2,148"
Sep9,Wed,"$2,077"
Sep9,Sep24,"$1,953"
Sep10,Sun,"$1,787"
Sep10,Sep21,"$2,268"
Sep10,Sep22,"$1,787"
Sep10,Tue,"$2,301"
Sep10,Sep23,"$2,169"
