From_Date,To_Date,Price
Aug 24,Mon,"A$2,396"
Aug 24,Sep 8,"A$1,467"
Aug 24,Tue,"A$1,918"
Aug 24,Sep 9,"A$1,467"
Aug 24,Wed,"A$1,918"
Aug 24,Sep 10,"A$1,467"
Aug 24,Thu,"A$2,188"
Aug 25,Mon,A$1.950
Aug 25,Sep 8,"A$2,401"
Aug 25,Tue,"A$1,765"
Aug 25,Sep 9,"A$1,765"
Aug 25,Wed,"A$1,765"
Aug 25,Sep 10,"A$2,035"
Aug 25,Thu,"A$1,953"
Aug 26,Mon,"$1,995"
Aug 26,Sep 8,"A$1,192"
Aug 26,Tue,A$1.688
Aug 26,Sep 9,” agis92
Aug 26,Wed,A$1.688
Aug 26,Sep 10,* ag1t92
Aug 26,Thu,"A$1,958"
Aug 27,Mon,"A$2,476"
Aug 27,Sep 8,"A$2,629"
Aug 27,Tue,"A$1,998"
Aug 27,Sep 9,"A$1,998"
Aug 27,Wed,"A$1,998"
Aug 27,Sep 10,"A$2,268"
Aug 27,Thu,"A$2,268"
Aug 28,Mon,"A$2,596"
Aug 28,Sep 8,"A$1,192"
Aug 28,Tue,"A$2,117"
Aug 28,Sep 9,"A$1,192"
Aug 28,Wed,"A$2,117"
Aug 28,Sep 10,"A$1,192"
Aug 28,Thu,A$1.618
Aug 29,Mon,"A$1,946"
Aug 29,Sep 8,"A$2,671"
Aug 29,Tue,"A$1,953"
Aug 29,Sep 9,"A$1,618"
Aug 29,Wed,"A$1,953"
Aug 29,Sep 10,"AS$1,664"
Aug 29,Thu,"A$1,664"
Aug 30,Mon,"A$1,946"
Aug 30,Sep 8,"A$1,962"
Aug 30,Tue,"A$2,079"
Aug 30,Sep 9,"A$1,618"
Aug 30,Wed,"A$2,079"
Aug 30,Sep 10,"AS$1,664"
Aug 30,Thu,"A$1,664"
