line_number,cleaned_text
1,Sun
2,Aug24
3,AbzZ296
4,"$1,467"
5,"$1,918"
6,"$1,467"
7,"$1,918"
8,"$1,467"
9,"$2,188"
10,Mon
11,Aug25
12,"$1,950"
13,"Agz,201"
14,"$1,765"
15,"$1,765"
16,"$1,765"
17,"$2,035"
18,"$1,953"
19,Tue
20,Aug24
21,$I995
22,"$1,192"
23,"$1,688"
24,"$1,192"
25,"$1,688"
26,"$1,192"
27,"$1,958"
28,Wed
29,Aug27
30,"Abe,ao"
31,Ag2a29
32,"$1,998"
33,"$1,998"
34,"$1,998"
35,"$2,268"
36,"$2,268"
37,Thu
38,Aug28
39,AbLSI6
40,"$1,192"
41,"$2,117"
42,"$1,192"
43,"$2,117"
44,"$1,192"
45,"$1,618"
46,Fri
47,Aug29
48,"$1,946"
49,"$1,953"
50,"$1,618"
51,"$1,953"
52,"$1,664"
53,"$$1,664"
54,Sat
55,Aug30
56,"$11,946"
57,"$1,962"
58,"$2,079"
59,"$1,618"
60,"$2,079"
61,"$1,664"
62,"$$1,664"
63,Sun
64,Sep7
65,Mon
66,Sep8
67,Tue
68,Sep9
69,Wed
70,Sep10
71,Thu
72,Sep11
73,Fri
74,Sep12
75,Sat
76,Sep13
